year,reporter_iso,partner_iso,trade_value,dist,distw,distcap,distwces,cont,lang,ccol,crel,rta
2008,GTM,GRD,855408,3127.97,3149.689,3127.97,3148.737,0,0,0,0.612,0
2009,GTM,GRD,985644,3127.97,3149.689,3127.97,3148.737,0,0,0,0.612,0
2010,GTM,GRD,227369,3127.97,3149.689,3127.97,3148.737,0,0,0,0.612,0
2011,GTM,GRD,386806,3127.97,3149.689,3127.97,3148.737,0,0,0,0.612,0
2012,GTM,GRD,798372,3127.97,3149.689,3127.97,3148.737,0,0,0,0.612,0
2013,GTM,GRD,500445,3127.97,3149.689,3127.97,3148.737,0,0,0,0.612,0
2014,GTM,GRD,846649,3127.97,3149.689,3127.97,3148.737,0,0,0,0.612,0
2015,GTM,GRD,819611,3127.97,3149.689,3127.97,3148.737,0,0,0,0.612,0
2016,GTM,GRD,489226,3127.97,3149.689,3127.97,3148.737,0,0,0,0.612,0
2017,GTM,GRD,1324327,3127.97,3149.689,3127.97,3148.737,0,0,0,0.612,0
2018,GTM,GRD,634899,3127.97,3149.689,3127.97,3148.737,0,0,0,0.612,0
2019,GTM,GRD,621080,3127.97,3149.689,3127.97,3148.737,0,0,0,0.612,0
2020,GTM,GRD,470650,3127.97,3149.689,3127.97,3148.737,0,0,0,0.612,0
1995,GTM,GUY,127267,3640.024,3675.161,3640.024,3673.932,0,0,0,0.178,0
1996,GTM,GUY,522365,3640.024,3675.161,3640.024,3673.932,0,0,0,0.178,0
1997,GTM,GUY,635914,3640.024,3675.161,3640.024,3673.932,0,0,0,0.178,0
1998,GTM,GUY,358066,3640.024,3675.161,3640.024,3673.932,0,0,0,0.178,0
1999,GTM,GUY,815400,3640.024,3675.161,3640.024,3673.932,0,0,0,0.178,0
2000,GTM,GUY,646514,3640.024,3675.161,3640.024,3673.932,0,0,0,0.178,0
2001,GTM,GUY,267353,3640.024,3675.161,3640.024,3673.932,0,0,0,0.178,0
2002,GTM,GUY,196648,3640.024,3675.161,3640.024,3673.932,0,0,0,0.178,0
2003,GTM,GUY,124151,3640.024,3675.161,3640.024,3673.932,0,0,0,0.178,0
2004,GTM,GUY,449836,3640.024,3675.161,3640.024,3673.932,0,0,0,0.178,0
2005,GTM,GUY,658918,3640.024,3675.161,3640.024,3673.932,0,0,0,0.178,0
2006,GTM,GUY,244391,3640.024,3675.161,3640.024,3673.932,0,0,0,0.178,0
2007,GTM,GUY,1719162,3640.024,3675.161,3640.024,3673.932,0,0,0,0.178,0
2008,GTM,GUY,3151119,3640.024,3675.161,3640.024,3673.932,0,0,0,0.178,0
2009,GTM,GUY,3615457,3640.024,3675.161,3640.024,3673.932,0,0,0,0.178,0
2010,GTM,GUY,1994671,3640.024,3675.161,3640.024,3673.932,0,0,0,0.178,0
2011,GTM,GUY,3122250,3640.024,3675.161,3640.024,3673.932,0,0,0,0.178,0
2012,GTM,GUY,5803395,3640.024,3675.161,3640.024,3673.932,0,0,0,0.178,0
2013,GTM,GUY,3371775,3640.024,3675.161,3640.024,3673.932,0,0,0,0.178,0
2014,GTM,GUY,3731494,3640.024,3675.161,3640.024,3673.932,0,0,0,0.178,0
2015,GTM,GUY,2777820,3640.024,3675.161,3640.024,3673.932,0,0,0,0.178,0
2016,GTM,GUY,3900402,3640.024,3675.161,3640.024,3673.932,0,0,0,0.178,0
2017,GTM,GUY,5835291,3640.024,3675.161,3640.024,3673.932,0,0,0,0.178,0
2018,GTM,GUY,5882421,3640.024,3675.161,3640.024,3673.932,0,0,0,0.178,0
2019,GTM,GUY,6004917,3640.024,3675.161,3640.024,3673.932,0,0,0,0.178,0
2020,GTM,GUY,6510937,3640.024,3675.161,3640.024,3673.932,0,0,0,0.178,0
1995,GTM,HND,124814113,359.267,350.713,359.267,325.853,1,1,0,0.902,1
1996,GTM,HND,140194209,359.267,350.713,359.267,325.853,1,1,0,0.902,1
1997,GTM,HND,177229423,359.267,350.713,359.267,325.853,1,1,0,0.902,1
1998,GTM,HND,215868479,359.267,350.713,359.267,325.853,1,1,0,0.902,1
1999,GTM,HND,208528966,359.267,350.713,359.267,325.853,1,1,0,0.902,1
2000,GTM,HND,233130433,359.267,350.713,359.267,325.853,1,1,0,0.902,1
2001,GTM,HND,295305753,359.267,350.713,359.267,325.853,1,1,0,0.902,1
2002,GTM,HND,271405028,359.267,350.713,359.267,325.853,1,1,0,0.902,1
2003,GTM,HND,281172346,359.267,350.713,359.267,325.853,1,1,0,0.902,1
2004,GTM,HND,347542508,359.267,350.713,359.267,325.853,1,1,0,0.902,1
2005,GTM,HND,394042606,359.267,350.713,359.267,325.853,1,1,0,0.902,1
2006,GTM,HND,308700234,359.267,350.713,359.267,325.853,1,1,0,0.902,1
2007,GTM,HND,592963392,359.267,350.713,359.267,325.853,1,1,0,0.902,1
2008,GTM,HND,736828826,359.267,350.713,359.267,325.853,1,1,0,0.902,1
2009,GTM,HND,606382751,359.267,350.713,359.267,325.853,1,1,0,0.902,1
2010,GTM,HND,700082526,359.267,350.713,359.267,325.853,1,1,0,0.902,1
2011,GTM,HND,813672206,359.267,350.713,359.267,325.853,1,1,0,0.902,1
2012,GTM,HND,795461577,359.267,350.713,359.267,325.853,1,1,0,0.902,1
2013,GTM,HND,790978857,359.267,350.713,359.267,325.853,1,1,0,0.902,1
2014,GTM,HND,885487791,359.267,350.713,359.267,325.853,1,1,0,0.902,1
2015,GTM,HND,903372628,359.267,350.713,359.267,325.853,1,1,0,0.902,1
2016,GTM,HND,913934260,359.267,350.713,359.267,325.853,1,1,0,0.902,1
2017,GTM,HND,967261396,359.267,350.713,359.267,325.853,1,1,0,0.902,1
2018,GTM,HND,935176111,359.267,350.713,359.267,325.853,1,1,0,0.902,1
2019,GTM,HND,1000299756,359.267,350.713,359.267,325.853,1,1,0,0.902,1
2020,GTM,HND,1018468071,359.267,350.713,359.267,325.853,1,1,0,0.902,1
1995,GTM,HTI,5114188,1986.791,1997.701,1986.791,1995.592,0,0,0,0.783,0
1996,GTM,HTI,12837364,1986.791,1997.701,1986.791,1995.592,0,0,0,0.783,0
1997,GTM,HTI,8621438,1986.791,1997.701,1986.791,1995.592,0,0,0,0.783,0
1998,GTM,HTI,10630769,1986.791,1997.701,1986.791,1995.592,0,0,0,0.783,0
1999,GTM,HTI,12846459,1986.791,1997.701,1986.791,1995.592,0,0,0,0.783,0
2000,GTM,HTI,13397353,1986.791,1997.701,1986.791,1995.592,0,0,0,0.783,0
2001,GTM,HTI,10604601,1986.791,1997.701,1986.791,1995.592,0,0,0,0.783,0
2002,GTM,HTI,8328612,1986.791,1997.701,1986.791,1995.592,0,0,0,0.783,0
2003,GTM,HTI,9566468,1986.791,1997.701,1986.791,1995.592,0,0,0,0.783,0
2004,GTM,HTI,5383872,1986.791,1997.701,1986.791,1995.592,0,0,0,0.783,0
2005,GTM,HTI,11537677,1986.791,1997.701,1986.791,1995.592,0,0,0,0.783,0
2006,GTM,HTI,9209693,1986.791,1997.701,1986.791,1995.592,0,0,0,0.783,0
2007,GTM,HTI,9173001,1986.791,1997.701,1986.791,1995.592,0,0,0,0.783,0
2008,GTM,HTI,20546026,1986.791,1997.701,1986.791,1995.592,0,0,0,0.783,0
2009,GTM,HTI,8233293,1986.791,1997.701,1986.791,1995.592,0,0,0,0.783,0
2010,GTM,HTI,28263808,1986.791,1997.701,1986.791,1995.592,0,0,0,0.783,0
2011,GTM,HTI,17772631,1986.791,1997.701,1986.791,1995.592,0,0,0,0.783,0
2012,GTM,HTI,22758117,1986.791,1997.701,1986.791,1995.592,0,0,0,0.783,0
2013,GTM,HTI,34707872,1986.791,1997.701,1986.791,1995.592,0,0,0,0.783,0
2014,GTM,HTI,45898184,1986.791,1997.701,1986.791,1995.592,0,0,0,0.783,0
2015,GTM,HTI,41818885,1986.791,1997.701,1986.791,1995.592,0,0,0,0.783,0
2016,GTM,HTI,57863631,1986.791,1997.701,1986.791,1995.592,0,0,0,0.783,0
2017,GTM,HTI,36407132,1986.791,1997.701,1986.791,1995.592,0,0,0,0.783,0
2018,GTM,HTI,40649948,1986.791,1997.701,1986.791,1995.592,0,0,0,0.783,0
2019,GTM,HTI,37669480,1986.791,1997.701,1986.791,1995.592,0,0,0,0.783,0
2020,GTM,HTI,38655443,1986.791,1997.701,1986.791,1995.592,0,0,0,0.783,0
1995,GTM,JAM,1963549,1511.007,1507.442,1511.007,1504.502,0,0,0,0.117,0
1996,GTM,JAM,6824636,1511.007,1507.442,1511.007,1504.502,0,0,0,0.117,0
1997,GTM,JAM,5509404,1511.007,1507.442,1511.007,1504.502,0,0,0,0.117,0
1998,GTM,JAM,4499685,1511.007,1507.442,1511.007,1504.502,0,0,0,0.117,0
1999,GTM,JAM,8175383,1511.007,1507.442,1511.007,1504.502,0,0,0,0.117,0
2000,GTM,JAM,8156986,1511.007,1507.442,1511.007,1504.502,0,0,0,0.117,0
2001,GTM,JAM,6248788,1511.007,1507.442,1511.007,1504.502,0,0,0,0.117,0
2002,GTM,JAM,6196046,1511.007,1507.442,1511.007,1504.502,0,0,0,0.117,0
2003,GTM,JAM,5734751,1511.007,1507.442,1511.007,1504.502,0,0,0,0.117,0
2004,GTM,JAM,11720119,1511.007,1507.442,1511.007,1504.502,0,0,0,0.117,0
2005,GTM,JAM,22933371,1511.007,1507.442,1511.007,1504.502,0,0,0,0.117,0
2006,GTM,JAM,10739441,1511.007,1507.442,1511.007,1504.502,0,0,0,0.117,0
2007,GTM,JAM,27322031,1511.007,1507.442,1511.007,1504.502,0,0,0,0.117,0
2008,GTM,JAM,31513964,1511.007,1507.442,1511.007,1504.502,0,0,0,0.117,0
2009,GTM,JAM,19824798,1511.007,1507.442,1511.007,1504.502,0,0,0,0.117,0
2010,GTM,JAM,18201738,1511.007,1507.442,1511.007,1504.502,0,0,0,0.117,0
2011,GTM,JAM,21355082,1511.007,1507.442,1511.007,1504.502,0,0,0,0.117,0
2012,GTM,JAM,27338841,1511.007,1507.442,1511.007,1504.502,0,0,0,0.117,0
2013,GTM,JAM,23674142,1511.007,1507.442,1511.007,1504.502,0,0,0,0.117,0
2014,GTM,JAM,20131095,1511.007,1507.442,1511.007,1504.502,0,0,0,0.117,0
2015,GTM,JAM,29430980,1511.007,1507.442,1511.007,1504.502,0,0,0,0.117,0
2016,GTM,JAM,36109826,1511.007,1507.442,1511.007,1504.502,0,0,0,0.117,0
2017,GTM,JAM,37551862,1511.007,1507.442,1511.007,1504.502,0,0,0,0.117,0
2018,GTM,JAM,33905199,1511.007,1507.442,1511.007,1504.502,0,0,0,0.117,0
2019,GTM,JAM,33363985,1511.007,1507.442,1511.007,1504.502,0,0,0,0.117,0
2020,GTM,JAM,37301838,1511.007,1507.442,1511.007,1504.502,0,0,0,0.117,0
1995,GTM,LCA,121123,3183.344,3202.143,3183.344,3201.201,0,0,0,0.833,0
1996,GTM,LCA,339965,3183.344,3202.143,3183.344,3201.201,0,0,0,0.833,0
1997,GTM,LCA,176051,3183.344,3202.143,3183.344,3201.201,0,0,0,0.833,0
1998,GTM,LCA,46800,3183.344,3202.143,3183.344,3201.201,0,0,0,0.833,0
1999,GTM,LCA,24832,3183.344,3202.143,3183.344,3201.201,0,0,0,0.833,0
2000,GTM,LCA,24832,3183.344,3202.143,3183.344,3201.201,0,0,0,0.833,0
2001,GTM,LCA,9986,3183.344,3202.143,3183.344,3201.201,0,0,0,0.833,0
2002,GTM,LCA,52995,3183.344,3202.143,3183.344,3201.201,0,0,0,0.833,0
2003,GTM,LCA,0,3183.344,3202.143,3183.344,3201.201,0,0,0,0.833,0
2004,GTM,LCA,0,3183.344,3202.143,3183.344,3201.201,0,0,0,0.833,0
2005,GTM,LCA,47896,3183.344,3202.143,3183.344,3201.201,0,0,0,0.833,0
2006,GTM,LCA,0,3183.344,3202.143,3183.344,3201.201,0,0,0,0.833,0
2007,GTM,LCA,404932,3183.344,3202.143,3183.344,3201.201,0,0,0,0.833,0
2008,GTM,LCA,1095464,3183.344,3202.143,3183.344,3201.201,0,0,0,0.833,0
2009,GTM,LCA,1119132,3183.344,3202.143,3183.344,3201.201,0,0,0,0.833,0
2010,GTM,LCA,1351928,3183.344,3202.143,3183.344,3201.201,0,0,0,0.833,0
2011,GTM,LCA,1287146,3183.344,3202.143,3183.344,3201.201,0,0,0,0.833,0
2012,GTM,LCA,2054205,3183.344,3202.143,3183.344,3201.201,0,0,0,0.833,0
2013,GTM,LCA,2449354,3183.344,3202.143,3183.344,3201.201,0,0,0,0.833,0
2014,GTM,LCA,367353,3183.344,3202.143,3183.344,3201.201,0,0,0,0.833,0
2015,GTM,LCA,118685,3183.344,3202.143,3183.344,3201.201,0,0,0,0.833,0
2016,GTM,LCA,409693,3183.344,3202.143,3183.344,3201.201,0,0,0,0.833,0
2017,GTM,LCA,2061443,3183.344,3202.143,3183.344,3201.201,0,0,0,0.833,0
2018,GTM,LCA,702146,3183.344,3202.143,3183.344,3201.201,0,0,0,0.833,0
2019,GTM,LCA,1323961,3183.344,3202.143,3183.344,3201.201,0,0,0,0.833,0
2020,GTM,LCA,825397,3183.344,3202.143,3183.344,3201.201,0,0,0,0.833,0
1995,GTM,MEX,44995305,1063.046,1427.233,1063.046,1239.568,1,1,0,0.891,0
1996,GTM,MEX,79969443,1063.046,1427.233,1063.046,1239.568,1,1,0,0.891,0
1997,GTM,MEX,77012607,1063.046,1427.233,1063.046,1239.568,1,1,0,0.891,0
1998,GTM,MEX,105316193,1063.046,1427.233,1063.046,1239.568,1,1,0,0.891,0
1999,GTM,MEX,97370204,1063.046,1427.233,1063.046,1239.568,1,1,0,0.891,0
2000,GTM,MEX,120182598,1063.046,1427.233,1063.046,1239.568,1,1,0,0.891,0
2001,GTM,MEX,79053970,1063.046,1427.233,1063.046,1239.568,1,1,0,0.891,1
2002,GTM,MEX,75950182,1063.046,1427.233,1063.046,1239.568,1,1,0,0.891,1
2003,GTM,MEX,106866725,1063.046,1427.233,1063.046,1239.568,1,1,0,0.891,1
2004,GTM,MEX,133351840,1063.046,1427.233,1063.046,1239.568,1,1,0,0.891,1
2005,GTM,MEX,215842389,1063.046,1427.233,1063.046,1239.568,1,1,0,0.891,1
2006,GTM,MEX,174085850,1063.046,1427.233,1063.046,1239.568,1,1,0,0.891,1
2007,GTM,MEX,463724746,1063.046,1427.233,1063.046,1239.568,1,1,0,0.891,1
2008,GTM,MEX,509492695,1063.046,1427.233,1063.046,1239.568,1,1,0,0.891,1
2009,GTM,MEX,424510072,1063.046,1427.233,1063.046,1239.568,1,1,0,0.891,1
2010,GTM,MEX,447343570,1063.046,1427.233,1063.046,1239.568,1,1,0,0.891,1
2011,GTM,MEX,510787539,1063.046,1427.233,1063.046,1239.568,1,1,0,0.891,1
2012,GTM,MEX,549815776,1063.046,1427.233,1063.046,1239.568,1,1,0,0.891,1
2013,GTM,MEX,469592592,1063.046,1427.233,1063.046,1239.568,1,1,0,0.891,0
2014,GTM,MEX,432442895,1063.046,1427.233,1063.046,1239.568,1,1,0,0.891,1
2015,GTM,MEX,429805877,1063.046,1427.233,1063.046,1239.568,1,1,0,0.891,1
2016,GTM,MEX,458661108,1063.046,1427.233,1063.046,1239.568,1,1,0,0.891,1
2017,GTM,MEX,510994214,1063.046,1427.233,1063.046,1239.568,1,1,0,0.891,1
2018,GTM,MEX,508164307,1063.046,1427.233,1063.046,1239.568,1,1,0,0.891,1
2019,GTM,MEX,555446761,1063.046,1427.233,1063.046,1239.568,1,1,0,0.891,1
2020,GTM,MEX,462757198,1063.046,1427.233,1063.046,1239.568,1,1,0,0.891,1
1995,GTM,NIC,70972541,536.598,555.192,536.598,544.133,0,1,0,0.892,1
1996,GTM,NIC,79872839,536.598,555.192,536.598,544.133,0,1,0,0.892,1
1997,GTM,NIC,83212020,536.598,555.192,536.598,544.133,0,1,0,0.892,1
1998,GTM,NIC,92542112,536.598,555.192,536.598,544.133,0,1,0,0.892,1
1999,GTM,NIC,103703603,536.598,555.192,536.598,544.133,0,1,0,0.892,1
2000,GTM,NIC,114328157,536.598,555.192,536.598,544.133,0,1,0,0.892,1
2001,GTM,NIC,130611723,536.598,555.192,536.598,544.133,0,1,0,0.892,1
2002,GTM,NIC,136173691,536.598,555.192,536.598,544.133,0,1,0,0.892,1
2003,GTM,NIC,153911225,536.598,555.192,536.598,544.133,0,1,0,0.892,1
2004,GTM,NIC,174516962,536.598,555.192,536.598,544.133,0,1,0,0.892,1
2005,GTM,NIC,213216366,536.598,555.192,536.598,544.133,0,1,0,0.892,1
2006,GTM,NIC,141209179,536.598,555.192,536.598,544.133,0,1,0,0.892,1
2007,GTM,NIC,267181922,536.598,555.192,536.598,544.133,0,1,0,0.892,1
2008,GTM,NIC,327542529,536.598,555.192,536.598,544.133,0,1,0,0.892,1
2009,GTM,NIC,281816005,536.598,555.192,536.598,544.133,0,1,0,0.892,1
2010,GTM,NIC,352669402,536.598,555.192,536.598,544.133,0,1,0,0.892,1
2011,GTM,NIC,458944912,536.598,555.192,536.598,544.133,0,1,0,0.892,1
2012,GTM,NIC,473274524,536.598,555.192,536.598,544.133,0,1,0,0.892,1
2013,GTM,NIC,486919068,536.598,555.192,536.598,544.133,0,1,0,0.892,1
2014,GTM,NIC,513740731,536.598,555.192,536.598,544.133,0,1,0,0.892,1
2015,GTM,NIC,554815881,536.598,555.192,536.598,544.133,0,1,0,0.892,1
2016,GTM,NIC,569273582,536.598,555.192,536.598,544.133,0,1,0,0.892,1
2017,GTM,NIC,562222394,536.598,555.192,536.598,544.133,0,1,0,0.892,1
2018,GTM,NIC,540523034,536.598,555.192,536.598,544.133,0,1,0,0.892,1
2019,GTM,NIC,549888751,536.598,555.192,536.598,544.133,0,1,0,0.892,1
2020,GTM,NIC,662430787,536.598,555.192,536.598,544.133,0,1,0,0.892,1
1995,GTM,PAN,37000812,1356.189,1320.565,1356.189,1311.315,0,1,0,0.802,0
1996,GTM,PAN,46322730,1356.189,1320.565,1356.189,1311.315,0,1,0,0.802,0
1997,GTM,PAN,42574805,1356.189,1320.565,1356.189,1311.315,0,1,0,0.802,0
1998,GTM,PAN,67640133,1356.189,1320.565,1356.189,1311.315,0,1,0,0.802,0
1999,GTM,PAN,64232885,1356.189,1320.565,1356.189,1311.315,0,1,0,0.802,0
2000,GTM,PAN,54723005,1356.189,1320.565,1356.189,1311.315,0,1,0,0.802,0
2001,GTM,PAN,43388472,1356.189,1320.565,1356.189,1311.315,0,1,0,0.802,0
2002,GTM,PAN,68661922,1356.189,1320.565,1356.189,1311.315,0,1,0,0.802,0
2003,GTM,PAN,91647490,1356.189,1320.565,1356.189,1311.315,0,1,0,0.802,0
2004,GTM,PAN,107561220,1356.189,1320.565,1356.189,1311.315,0,1,0,0.802,0
2005,GTM,PAN,80497473,1356.189,1320.565,1356.189,1311.315,0,1,0,0.802,0
2006,GTM,PAN,82000696,1356.189,1320.565,1356.189,1311.315,0,1,0,0.802,0
2007,GTM,PAN,118692622,1356.189,1320.565,1356.189,1311.315,0,1,0,0.802,0
2008,GTM,PAN,161214724,1356.189,1320.565,1356.189,1311.315,0,1,0,0.802,0
2009,GTM,PAN,183858212,1356.189,1320.565,1356.189,1311.315,0,1,0,0.802,1
2010,GTM,PAN,222023336,1356.189,1320.565,1356.189,1311.315,0,1,0,0.802,1
2011,GTM,PAN,247479366,1356.189,1320.565,1356.189,1311.315,0,1,0,0.802,1
2012,GTM,PAN,246624979,1356.189,1320.565,1356.189,1311.315,0,1,0,0.802,1
2013,GTM,PAN,237409700,1356.189,1320.565,1356.189,1311.315,0,1,0,0.802,1
2014,GTM,PAN,282680559,1356.189,1320.565,1356.189,1311.315,0,1,0,0.802,1
2015,GTM,PAN,261533693,1356.189,1320.565,1356.189,1311.315,0,1,0,0.802,1
2016,GTM,PAN,248878773,1356.189,1320.565,1356.189,1311.315,0,1,0,0.802,1
2017,GTM,PAN,288754525,1356.189,1320.565,1356.189,1311.315,0,1,0,0.802,1
2018,GTM,PAN,242996861,1356.189,1320.565,1356.189,1311.315,0,1,0,0.802,1
2019,GTM,PAN,233427674,1356.189,1320.565,1356.189,1311.315,0,1,0,0.802,1
2020,GTM,PAN,214932190,1356.189,1320.565,1356.189,1311.315,0,1,0,0.802,1
1995,GTM,PER,28605254,3325.267,3282.756,3325.267,3233.813,0,1,0,0.895,0
1996,GTM,PER,29487254,3325.267,3282.756,3325.267,3233.813,0,1,0,0.895,0
1997,GTM,PER,13160991,3325.267,3282.756,3325.267,3233.813,0,1,0,0.895,0
1998,GTM,PER,48545640,3325.267,3282.756,3325.267,3233.813,0,1,0,0.895,0
1999,GTM,PER,8631840,3325.267,3282.756,3325.267,3233.813,0,1,0,0.895,0
2000,GTM,PER,4655511,3325.267,3282.756,3325.267,3233.813,0,1,0,0.895,0
2001,GTM,PER,6514556,3325.267,3282.756,3325.267,3233.813,0,1,0,0.895,0
2002,GTM,PER,6092136,3325.267,3282.756,3325.267,3233.813,0,1,0,0.895,0
2003,GTM,PER,1440150,3325.267,3282.756,3325.267,3233.813,0,1,0,0.895,0
2004,GTM,PER,6014490,3325.267,3282.756,3325.267,3233.813,0,1,0,0.895,0
2005,GTM,PER,11341717,3325.267,3282.756,3325.267,3233.813,0,1,0,0.895,0
2006,GTM,PER,18132235,3325.267,3282.756,3325.267,3233.813,0,1,0,0.895,0
2007,GTM,PER,38143670,3325.267,3282.756,3325.267,3233.813,0,1,0,0.895,0
2008,GTM,PER,53105759,3325.267,3282.756,3325.267,3233.813,0,1,0,0.895,0
2009,GTM,PER,27867540,3325.267,3282.756,3325.267,3233.813,0,1,0,0.895,0
2010,GTM,PER,79759489,3325.267,3282.756,3325.267,3233.813,0,1,0,0.895,0
2011,GTM,PER,82403622,3325.267,3282.756,3325.267,3233.813,0,1,0,0.895,0
2012,GTM,PER,80241333,3325.267,3282.756,3325.267,3233.813,0,1,0,0.895,0
2013,GTM,PER,30110713,3325.267,3282.756,3325.267,3233.813,0,1,0,0.895,0
2014,GTM,PER,30584653,3325.267,3282.756,3325.267,3233.813,0,1,0,0.895,0
2015,GTM,PER,52641018,3325.267,3282.756,3325.267,3233.813,0,1,0,0.895,0
2016,GTM,PER,51163283,3325.267,3282.756,3325.267,3233.813,0,1,0,0.895,0
2017,GTM,PER,87039767,3325.267,3282.756,3325.267,3233.813,0,1,0,0.895,0
2018,GTM,PER,52691156,3325.267,3282.756,3325.267,3233.813,0,1,0,0.895,0
2019,GTM,PER,44867003,3325.267,3282.756,3325.267,3233.813,0,1,0,0.895,0
2020,GTM,PER,47677569,3325.267,3282.756,3325.267,3233.813,0,1,0,0.895,0
1995,GTM,PRY,0,5691.879,5757.99,5691.879,5756.299,0,1,0,0.903,0
1996,GTM,PRY,27636,5691.879,5757.99,5691.879,5756.299,0,1,0,0.903,0
1997,GTM,PRY,37570,5691.879,5757.99,5691.879,5756.299,0,1,0,0.903,0
1998,GTM,PRY,50572,5691.879,5757.99,5691.879,5756.299,0,1,0,0.903,0
1999,GTM,PRY,826731,5691.879,5757.99,5691.879,5756.299,0,1,0,0.903,0
2000,GTM,PRY,380360,5691.879,5757.99,5691.879,5756.299,0,1,0,0.903,0
2001,GTM,PRY,48857,5691.879,5757.99,5691.879,5756.299,0,1,0,0.903,0
2002,GTM,PRY,3216,5691.879,5757.99,5691.879,5756.299,0,1,0,0.903,0
2003,GTM,PRY,20370,5691.879,5757.99,5691.879,5756.299,0,1,0,0.903,0
2004,GTM,PRY,51109,5691.879,5757.99,5691.879,5756.299,0,1,0,0.903,0
2005,GTM,PRY,296204,5691.879,5757.99,5691.879,5756.299,0,1,0,0.903,0
2006,GTM,PRY,39159,5691.879,5757.99,5691.879,5756.299,0,1,0,0.903,0
2007,GTM,PRY,12444,5691.879,5757.99,5691.879,5756.299,0,1,0,0.903,0
2008,GTM,PRY,774775,5691.879,5757.99,5691.879,5756.299,0,1,0,0.903,0
2009,GTM,PRY,441384,5691.879,5757.99,5691.879,5756.299,0,1,0,0.903,0
2010,GTM,PRY,284707,5691.879,5757.99,5691.879,5756.299,0,1,0,0.903,0
2011,GTM,PRY,504572,5691.879,5757.99,5691.879,5756.299,0,1,0,0.903,0
2012,GTM,PRY,789770,5691.879,5757.99,5691.879,5756.299,0,1,0,0.903,0
2013,GTM,PRY,685348,5691.879,5757.99,5691.879,5756.299,0,1,0,0.903,0
2014,GTM,PRY,994705,5691.879,5757.99,5691.879,5756.299,0,1,0,0.903,0
2015,GTM,PRY,1204443,5691.879,5757.99,5691.879,5756.299,0,1,0,0.903,0
2016,GTM,PRY,1140683,5691.879,5757.99,5691.879,5756.299,0,1,0,0.903,0
2017,GTM,PRY,939108,5691.879,5757.99,5691.879,5756.299,0,1,0,0.903,0
2018,GTM,PRY,1609078,5691.879,5757.99,5691.879,5756.299,0,1,0,0.903,0
2019,GTM,PRY,1384571,5691.879,5757.99,5691.879,5756.299,0,1,0,0.903,0
2020,GTM,PRY,873087,5691.879,5757.99,5691.879,5756.299,0,1,0,0.903,0
1995,GTM,SLV,268853421,181.113,202.124,181.113,188.354,1,1,0,0.905,1
1996,GTM,SLV,257994280,181.113,202.124,181.113,188.354,1,1,0,0.905,1
1997,GTM,SLV,310887700,181.113,202.124,181.113,188.354,1,1,0,0.905,1
1998,GTM,SLV,320008913,181.113,202.124,181.113,188.354,1,1,0,0.905,1
1999,GTM,SLV,356263342,181.113,202.124,181.113,188.354,1,1,0,0.905,1
2000,GTM,SLV,341088867,181.113,202.124,181.113,188.354,1,1,0,0.905,1
2001,GTM,SLV,477108381,181.113,202.124,181.113,188.354,1,1,0,0.905,1
2002,GTM,SLV,457513320,181.113,202.124,181.113,188.354,1,1,0,0.905,1
2003,GTM,SLV,501728806,181.113,202.124,181.113,188.354,1,1,0,0.905,1
2004,GTM,SLV,544845640,181.113,202.124,181.113,188.354,1,1,0,0.905,1
2005,GTM,SLV,653001138,181.113,202.124,181.113,188.354,1,1,0,0.905,1
2006,GTM,SLV,489519575,181.113,202.124,181.113,188.354,1,1,0,0.905,1
2007,GTM,SLV,841286751,181.113,202.124,181.113,188.354,1,1,0,0.905,1
2008,GTM,SLV,972585302,181.113,202.124,181.113,188.354,1,1,0,0.905,1
2009,GTM,SLV,817282970,181.113,202.124,181.113,188.354,1,1,0,0.905,1
2010,GTM,SLV,993793094,181.113,202.124,181.113,188.354,1,1,0,0.905,1
2011,GTM,SLV,1125928493,181.113,202.124,181.113,188.354,1,1,0,0.905,1
2012,GTM,SLV,1110744004,181.113,202.124,181.113,188.354,1,1,0,0.905,1
2013,GTM,SLV,1108769719,181.113,202.124,181.113,188.354,1,1,0,0.905,1
2014,GTM,SLV,1263804379,181.113,202.124,181.113,188.354,1,1,0,0.905,1
2015,GTM,SLV,1239767515,181.113,202.124,181.113,188.354,1,1,0,0.905,1
2016,GTM,SLV,1204217390,181.113,202.124,181.113,188.354,1,1,0,0.905,1
2017,GTM,SLV,1216534630,181.113,202.124,181.113,188.354,1,1,0,0.905,1
2018,GTM,SLV,1335072215,181.113,202.124,181.113,188.354,1,1,0,0.905,1
2019,GTM,SLV,1383082151,181.113,202.124,181.113,188.354,1,1,0,0.905,1
2020,GTM,SLV,1313447063,181.113,202.124,181.113,188.354,1,1,0,0.905,1
1995,GTM,SUR,226993,3979.619,4090.944,3979.619,4018.285,0,0,0,0.356,0
1996,GTM,SUR,403070,3979.619,4090.944,3979.619,4018.285,0,0,0,0.356,0
1997,GTM,SUR,508387,3979.619,4090.944,3979.619,4018.285,0,0,0,0.356,0
1998,GTM,SUR,671620,3979.619,4090.944,3979.619,4018.285,0,0,0,0.356,0
1999,GTM,SUR,979867,3979.619,4090.944,3979.619,4018.285,0,0,0,0.356,0
2000,GTM,SUR,899559,3979.619,4090.944,3979.619,4018.285,0,0,0,0.356,0
