year,iso_i,iso_j,exports,imports,dist,distw,distcap,distwces,cont,lang,ccol,crel,rta,gdp_i,gdp_pcap_i,gdp_j,gdp_pcap_j
2014,GTM,ARG,3100304,57402584,6446.824,6217.216,6446.824,6189.426,0,1,0,0.862,0,57852399963.7878,3779.64233613025,526319673731.638,12334.7982453893
2015,GTM,ARG,7456760,73170747,6446.824,6217.216,6446.824,6189.426,0,1,0,0.862,0,62186186575.7433,3994.63691288475,594749285413.212,13789.060424772
2016,GTM,ARG,4699216,79984188,6446.824,6217.216,6446.824,6189.426,0,1,0,0.862,0,66053725049.0138,4173.30166619474,557531376217.967,12790.2424732447
2017,GTM,ARG,3055183,151092486,6446.824,6217.216,6446.824,6189.426,0,1,0,0.862,0,71654134378.5299,4454.04814983548,643628665302.155,14613.041824658
2018,GTM,ARG,3889532,126370157,6446.824,6217.216,6446.824,6189.426,0,1,0,0.862,0,73208583758.9105,4478.42464550944,524819742918.669,11795.1593866287
2019,GTM,ARG,2659268,145881035,6446.824,6217.216,6446.824,6189.426,0,1,0,0.862,0,77020015201.3201,4638.63494319511,451932356085.842,10056.637940265
2020,GTM,ARG,1798194,132550555,6446.824,6217.216,6446.824,6189.426,0,1,0,0.862,0,77604632170.5853,4603.33961670975,389288056265.325,8579.01777315683
1995,GTM,BHS,217830,262851,1802.478,1821.662,1802.478,1819.874,0,0,0,0.263,0,14655404433.2771,1424.68254256258,3429000000,12238.6046063409
1996,GTM,BHS,95834,694,1802.478,1821.662,1802.478,1819.874,0,0,0,0.263,0,15674835615.3139,1487.60765839974,3609000000,12708.6414536235
1997,GTM,BHS,106648,202021,1802.478,1821.662,1802.478,1819.874,0,0,0,0.263,0,17790026221.6139,1649.00160206099,6332360000,22036.1006810202
1998,GTM,BHS,91523,2450347,1802.478,1821.662,1802.478,1819.874,0,0,0,0.263,0,19395491992.9939,1755.84958223191,6833220000,23514.1775636614
1999,GTM,BHS,49356,1982143,1802.478,1821.662,1802.478,1819.874,0,0,0,0.263,0,18318412251.3642,1619.51073552531,7683870000,26130.0129564073
2000,GTM,BHS,203365,63440,1802.478,1821.662,1802.478,1819.874,0,0,0,0.263,0,19288827158.9035,1664.29895827045,8076470000,27098.1563186767
2001,GTM,BHS,210270,9718602,1802.478,1821.662,1802.478,1819.874,0,0,0,0.263,0,18405203853.1036,1550.36036555447,8317830000,27486.2367737544
2002,GTM,BHS,415464,29310629,1802.478,1821.662,1802.478,1819.874,0,0,0,0.263,0,20444205991.025,1682.99450068936,8881160000,28867.0824977166
2003,GTM,BHS,41411,66664870,1802.478,1821.662,1802.478,1819.874,0,0,0,0.263,0,21576351798.9145,1737.87928692973,8870090000,28327.8136706662
2004,GTM,BHS,1606428,57834673,1802.478,1821.662,1802.478,1819.874,0,0,0,0.263,0,23577286226.6407,1859.098363351,9055290000,28396.0137099278
2005,GTM,BHS,1224591,58639187,1802.478,1821.662,1802.478,1819.874,0,0,0,0.263,0,26783543667.064,2068.50012859333,9836200000,30279.3922080481
2006,GTM,BHS,230063,37867364,1802.478,1821.662,1802.478,1819.874,0,0,0,0.263,0,29744368110.9094,2251.08796275499,10167250000,30713.7980618188
2007,GTM,BHS,943918,50486166,1802.478,1821.662,1802.478,1819.874,0,0,0,0.263,0,33567868322.6252,2490.74912665208,10618340000,31472.2855356015
2008,GTM,BHS,1591905,25353538,1802.478,1821.662,1802.478,1819.874,0,0,0,0.263,0,38503862830.6878,2802.46196190125,10526000000,30627.3277467412
2009,GTM,BHS,1041929,60678897,1802.478,1821.662,1802.478,1819.874,0,0,0,0.263,0,37125943564.9873,2651.81712283814,9981960000,28552.5171624714
2010,GTM,BHS,875866,102713090,1802.478,1821.662,1802.478,1819.874,0,0,0,0.263,0,40676432028.5934,2852.54732650116,10095760000,28443.8884756689
2011,GTM,BHS,974164,14992042,1802.478,1821.662,1802.478,1819.874,0,0,0,0.263,0,46876114650.4996,3228.0457411296,10070450000,28005.9124040903
2012,GTM,BHS,4209327,54183,1802.478,1821.662,1802.478,1819.874,0,0,0,0.263,0,49593961141.7484,3355.03691881272,10720500000,29485.8642228279
2013,GTM,BHS,968813,217899,1802.478,1821.662,1802.478,1819.874,0,0,0,0.263,0,52996540703.5943,3522.77370621475,10494600000,28583.0232976179
2014,GTM,BHS,3039483,311317,1802.478,1821.662,1802.478,1819.874,0,0,0,0.263,0,57852399963.7878,3779.64233613025,11142900000,30065.1602023609
2015,GTM,BHS,5042867,57809,1802.478,1821.662,1802.478,1819.874,0,0,0,0.263,0,62186186575.7433,3994.63691288475,11890600000,31776.0555852485
2016,GTM,BHS,6844315,1382469,1802.478,1821.662,1802.478,1819.874,0,0,0,0.263,0,66053725049.0138,4173.30166619474,11992600000,31732.9191396131
2017,GTM,BHS,7784543,660591,1802.478,1821.662,1802.478,1819.874,0,0,0,0.263,0,71654134378.5299,4454.04814983548,12359700000,32376.5091722572
2018,GTM,BHS,8752929,227902,1802.478,1821.662,1802.478,1819.874,0,0,0,0.263,0,73208583758.9105,4478.42464550944,12837800000,33290.028135413
