term,estimate,std.error,statistic,p.value
Random effects (imports),NA,NA,NA,NA
(Intercept),-18.8544464605746,6.243935145489432,-3.019641623631357,0.0025307394283859462
tgdp,1.7596135284560073,0.1467816636245725,11.987965560579958,4.108725946823674e-33
rfe,-0.0040972139365099604,0.4249438000539058,-0.009641778362198043,0.9923070931000622
sim,15.06081091479629,3.2689963868113483,4.607166583468433,4.081929814960865e-6
log(dist),-3.211920829687042,0.745271046433471,-4.309735156166119,1.6345017312601446e-5
log(rer),-0.1538660756205686,0.10224313832386654,-1.5049036849121418,0.13234884080252207
cont,-4.055138705865382,1.9981091490173888,-2.0294880827003765,0.042408601598576706
lang,8.263236527256604,2.1599643543751843,3.825635599272156,1.304351129790115e-4
ccol,-2.6480696122580514,2.0866942719810755,-1.269026156737381,0.20443173514442264
crel,-4.998592053819572,2.1002424748373665,-2.3800071247519368,0.017312303318984257
rta,-0.09401433637453269,0.37583499306971246,-0.25014790561850175,0.8024729699752972
Fixed effects (imports),NA,NA,NA,NA
tgdp,1.8346924346353104,0.15456464413689064,11.870065401311374,6.912357573675665e-30
rfe,-0.023032876363859478,0.55418498091616,-0.04156171162520915,0.9668592322754058
sim,14.485341091799876,6.689256584449938,2.16546351734705,0.030668887793316415
log(rer),-0.1657290504718055,0.1191220986603425,-1.3912536157069835,0.16456384717426592
rta,-0.15629718112798177,0.377977634295681,-0.4135090728826431,0.6793526767637925
PPML (imports),NA,NA,NA,NA
(Intercept),2.328196536008626,0.2996874475720027,7.76874892449159,2.536468344022752e-14
tgdp,-0.005664508425983402,0.01620008630230644,-0.3496591512093941,0.7266902473027721
rfe,-0.0207724038563947,0.025037075948139795,-0.8296657285148368,0.40698527137986895
sim,2.4162085491889282,0.16395902636989956,14.73666075411941,1.777445008994409e-43
log(dist),-0.2211848592228313,0.022721143585504484,-9.73475909742244,3.3784446467779564e-21
log(rer),-1.6358069119082666e-4,0.005023864244248464,-0.0325607307916612,0.9740333345363741
cont,-0.2912012426453553,0.04978473343267776,-5.84920762986784,7.303278571760668e-9
lang,0.7334865169159734,0.06495997086226049,11.291361544346133,1.832649177528131e-27
ccol,-0.31028233222488494,0.058189921147033696,-5.332234966273055,1.2764325682725259e-7
crel,-0.6013130212284589,0.07365525713023915,-8.163884624897873,1.3248427853936553e-15
rta,0.055640946129155905,0.03832881433376685,1.451674075921974,0.14700008331492753
