term,estimate,std.error,statistic,p.value
Random effects (exports),NA,NA,NA,NA
(Intercept),-3.1456595422526297,3.477781740285586,-0.904501713208235,0.36572942634185124
tgdp,1.8012232375311146,0.08893497904649411,20.253259817933472,3.324923076169474e-91
rfe,-0.4625791201052719,0.2517398882776774,-1.837528105975132,0.06613197122683895
sim,0.1640074286173315,1.8506918586199217,0.08861952239830642,0.9293842924978617
log(dist),-3.278454513914115,0.4106184938428849,-7.984186204649007,1.4145236398309318e-15
log(rer),-0.015400544309180517,0.060440626807890994,-0.2548045101870098,0.7988740916059013
cont,-3.474065176659488,1.0981665374462592,-3.1635139645925494,0.0015587687341353453
lang,1.9172411148031379,1.1906691090335233,1.6102215974674774,0.1073494880859865
ccol,-0.39129116316990414,1.1524161069682357,-0.33953982489823825,0.7342031010808701
crel,-1.934735930590262,1.1531251514356606,-1.6778195568637824,0.09338233027343332
rta,0.02273348646599591,0.22844216294922973,0.09951528287292713,0.9207291541542455
Fixed effects (exports),NA,NA,NA,NA
tgdp,1.8888679099167756,0.09416405490271203,20.059330621098542,6.759169837500596e-72
rfe,-0.6883027165776431,0.33762122806707673,-2.0386831732064397,0.04183421037371958
sim,4.163746275454322,4.0752367903659135,1.0217188569993405,0.30724563883145384
log(rer),0.016124709610948914,0.07257170552176462,0.22219003253427788,0.824226847925142
rta,-0.07618687932588039,0.23027198041677394,-0.33085605633819715,0.7408462470935142
PPML (exports),NA,NA,NA,NA
(Intercept),2.152663198490858,0.11760463615165788,18.304237561815814,2.121971664049999e-62
tgdp,0.06762204908474025,0.00620407908327196,10.899611074763598,8.002573742560628e-26
rfe,-0.02748197909151379,0.009685247978819258,-2.837509080987326,0.004666385844615519
sim,0.3070180511099875,0.05905445544696547,5.198897336132556,2.571816027357834e-7
log(dist),-0.17059682480436933,0.00934138229682872,-18.26248186655253,3.6184535044610356e-62
log(rer),-0.0013756407518706391,0.0020829906197675596,-0.6604162010216573,0.5091845480331791
cont,-0.17493425575517596,0.020581881959222826,-8.499429551765902,9.840421147186735e-17
lang,0.11752721207830687,0.02484293777773149,4.730809742785532,2.6608789934970713e-6
ccol,-0.06903914968289222,0.023835783376013903,-2.8964497870192405,0.0038812120731106436
crel,-0.12505382015329106,0.024369704672052805,-5.13152792929423,3.6425941791537433e-7
rta,0.06860581385366127,0.01628304050253038,4.2133294358016204,2.814807425051267e-5
